,Modele,Train_R2,Val_R2,Train_RMSE,Val_RMSE,Train_MAE,Val_MAE,Train_custom,Val_custom,Temps_execution,Test_R2,Test_RMSE,Test_MAE,Test_custom
0,modele_basique_1,0.27583220636032046,,-1.0,,-1.0,,0.03398322095017912,,0.2927842140197754,-0.4694462528316895,-1.0,-7672993.729360203,0.02133221617092585
1,modele_basique_2 (Dummy regr.),0.0,,-1.0,,-1.0,,0.02098742460721026,,0.266495943069458,-0.7963666959620046,-1.0,-1.0,0.021548535496915433
